propertyid,attrition,latitude,longitude,bedrooms,bathrooms,averagedailyrateusd,rating_overall,rating_communication,rating_accuracy,rating_cleanliness,rating_checkin,rating_location,rating_value,reservationdays1,reservationdays2,reservationdays3,reservationdays4,reservationdays5,reservationdays6,reservationdays7,reservationdays8,reservationdays9,reservationdays10,reservationdays11,reservationdays12,nmon
2585167,0,37.772675,-122.43961,1,1.0,187.64,98,10,10,10,10,10,10,11.0,6.0,6.5,3.3333333,5.5,7.0,6.0,4.3333335,4.75,3.0,1.6666666,7.3333335,32
14913550,0,37.595631,-122.49518,1,1.0,134.21001,98,10,10,10,10,10,10,21.0,19.5,24.0,19.0,25.0,28.0,24.0,27.0,23.0,22.5,13.5,16.5,19
226722,0,37.876244,-122.54343,3,2.0,277.79999,97,10,10,9,10,10,10,15.5,18.5,11.5,8.333333,15.666667,19.0,11.333333,17.5,9.0,15.666667,11.5,13.5,42
6135818,0,38.076874,-122.80528,3,2.0,381.07001,90,10,9,9,10,10,9,6.0,7.3333335,8.666667,10.0,7.5,3.3333333,5.3333335,6.0,6.0,2.6666667,10.0,5.0,34
11575007,0,37.698269,-122.48542,1,1.0,86.860001,95,10,10,10,10,9,10,3.0,0.0,3.6666667,0.5,14.0,13.5,10.0,17.5,14.0,7.5,2.5,2.0,25
2786614,1,37.879383,-122.25688,1,1.0,94.669998,95,10,10,9,10,10,10,8.0,2.3333333,3.6666667,1.0,2.5,5.5,22.5,23.5,20.5,7.5,2.0,1.0,28
11260204,1,37.77541,-122.50906,2,1.0,354.01999,95,9,9,10,10,9,9,17.0,19.0,23.0,21.0,13.5,12.0,10.0,10.0,4.0,4.0,2.0,17.0,16
14139082,0,37.780781,-122.40679,1,1.0,136.08,81,9,8,9,9,7,8,16.0,2.0,4.5,11.0,8.0,7.0,25.0,27.0,23.0,19.0,15.5,17.0,18
5653384,0,37.923012,-122.52879,1,1.0,130.78,86,9,9,9,9,10,9,10.333333,2.6666667,10.25,5.0,11.0,7.3333335,12.333333,10.666667,6.0,12.0,11.0,11.666667,37
3866806,0,38.072613,-122.84795,1,1.0,307.81,98,10,10,9,10,10,9,12.5,6.3333335,14.0,8.5,9.5,10.5,14.5,15.0,11.5,15.0,9.5,14.0,26
9631473,1,37.791122,-122.25629,1,1.0,68.169998,94,10,10,10,10,8,9,25.0,28.0,29.0,18.5,21.5,27.5,18.5,30.0,29.0,16.0,9.0,12.0,17
9922347,1,37.968048,-122.53062,1,1.0,146.14999,99,10,10,10,10,10,10,31.0,28.0,21.5,26.5,24.5,25.5,29.0,19.5,23.0,23.0,18.0,19.5,18
2944843,0,37.754879,-122.49496,1,1.0,112.12,97,10,10,10,10,10,10,15.25,15.75,21.5,15.333333,22.333334,26.0,24.0,24.5,25.75,22.5,13.75,13.0,44
16855858,0,37.909065,-122.04295,1,1.5,34.32,88,9,9,9,9,9,9,16.5,9.5,24.0,19.0,15.0,24.0,27.0,22.0,14.0,21.0,14.0,12.0,14
7729217,0,37.757366,-122.44295,1,1.0,181.87,98,10,10,10,10,10,9,11.666667,9.666667,14.333333,7.5,12.0,15.5,19.0,20.666666,18.666666,17.333334,6.0,11.333333,32
12956333,0,37.630856,-122.41544,1,1.0,122.4,98,10,10,10,10,9,10,23.5,21.0,26.0,28.0,14.5,27.0,30.0,27.5,27.0,24.5,24.0,26.0,23
7915429,0,37.892998,-121.61141,5,3.0,558.98999,96,10,10,10,10,10,9,3.0,2.0,3.3333333,8.0,12.5,15.0,16.0,9.666667,9.333333,4.6666665,5.0,5.0,32
11225011,0,37.752468,-122.41173,1,1.0,150.42,97,10,10,10,10,10,10,26.0,22.0,25.0,22.0,27.0,26.0,19.5,28.5,25.0,26.5,19.5,12.5,21
298838,0,38.068935,-122.82865,2,1.0,197.81,96,10,10,9,10,10,9,12.25,12.5,12.75,13.0,21.333334,20.0,15.333333,15.75,18.5,15.5,15.0,18.5,44
15061298,0,37.593628,-122.06737,1,2.0,51.57,95,9,10,10,10,10,10,28.5,27.5,31.0,12.0,3.0,29.0,28.0,12.0,20.0,30.0,27.5,28.0,18
16370499,0,37.955101,-122.32591,1,1.0,53.459999,96,10,10,10,10,9,10,3.0,2.5,1.5,23.0,22.0,10.0,28.0,14.0,13.0,18.0,7.0,17.0,15
7857988,0,38.003086,-122.31054,1,1.0,96.040001,96,10,10,10,10,10,10,24.0,18.333334,25.0,19.0,20.5,26.5,27.0,28.0,15.333333,25.0,18.666666,21.666666,30
5268882,1,37.836113,-122.26265,1,1.5,73.330002,93,10,9,9,10,10,9,9.5,9.333333,12.333333,11.666667,13.0,11.0,17.0,17.0,12.5,16.0,15.5,11.0,29
5919500,0,37.789204,-122.45073,1,1.0,253.60001,99,10,10,10,10,10,10,9.0,6.6666665,8.5,4.6666665,8.0,9.5,2.5,6.0,2.5,4.0,4.0,9.0,31
15717190,0,37.891708,-122.18757,2,1.0,146.71001,100,10,10,10,10,10,10,8.5,0.0,6.5,0.0,7.0,14.0,2.0,8.0,0.0,0.0,6.0,3.0,16
7967620,0,38.013939,-121.89591,1,1.0,39.0,94,10,10,10,10,9,9,30.5,11.333333,22.0,21.5,29.5,19.0,26.0,15.0,12.0,22.5,20.333334,24.0,28
17389791,0,37.903706,-122.54326,3,1.5,445.48999,100,10,10,10,10,10,10,2.0,6.5,5.5,10.0,3.0,19.0,21.0,21.0,14.0,2.0,7.0,7.0,14
17530306,0,37.656635,-121.86887,1,1.0,72.599998,94,10,10,10,10,10,10,24.0,19.0,15.0,4.0,5.0,25.0,23.0,29.0,22.0,22.0,18.0,27.0,13
14148904,0,37.774826,-122.38776,3,2.0,283.07999,80,10,6,8,10,8,8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,7.5,2.5,0.0,17
2677288,0,37.761608,-122.4324,1,1.0,99.0,97,10,10,10,10,10,10,9.75,10.25,15.75,13.333333,17.333334,23.333334,25.333334,19.25,24.0,22.25,10.0,7.0,44
4182201,1,37.802887,-122.41108,2,1.5,493.75,84,9,9,8,9,10,8,2.3333333,2.0,7.0,9.0,4.5,9.5,6.5,11.5,4.0,8.0,2.6666667,2.0,29
736250,0,37.911331,-122.31659,1,1.0,110.97,96,10,10,10,10,9,10,16.0,11.75,23.0,18.666666,9.0,28.666666,23.5,16.0,21.666666,17.75,18.5,12.75,38
13029769,1,37.741692,-122.47948,1,1.0,172.12,100,10,10,10,10,10,10,0.0,0.0,1.0,2.0,0.0,10.5,16.0,4.5,10.0,5.0,0.0,4.0,14
13995810,0,37.867226,-122.49067,1,0.5,133.33,94,10,9,9,10,10,9,7.5,12.0,8.0,3.0,13.0,22.0,22.0,12.5,19.0,18.5,15.0,8.0,18
14221666,0,37.862286,-122.28241,3,1.0,259.81,100,10,10,10,10,10,10,17.5,19.0,22.5,27.0,17.0,19.0,25.0,18.0,20.0,21.0,18.5,18.5,20
4670847,0,37.79892,-122.40408,1,0.0,43.450001,92,10,9,9,10,9,9,20.25,18.25,20.0,14.666667,23.666666,24.333334,26.333334,19.0,14.666667,21.666666,12.25,15.75,41
7697503,0,37.743652,-122.47642,1,2.0,107.79,97,10,10,10,10,9,9,7.5,3.0,10.5,1.0,0.0,12.5,18.0,7.0,7.0,12.0,11.0,9.0,20
